qid,index,category,recall,absence,n_fetch,content_tok,unmappable,note
GA1,IDX-D-gdpr,single-hop-lookup,1.0,False,1,1275,0,1/1 gold hit
GA2,IDX-D-gdpr,single-hop-lookup,1.0,False,1,361,0,1/1 gold hit
GA3,IDX-D-gdpr,single-hop-lookup,1.0,False,1,1696,0,1/1 gold hit
GA4,IDX-D-gdpr,single-hop-lookup,1.0,False,1,220,0,1/1 gold hit
GB1,IDX-D-gdpr,multi-hop-synthesis,1.0,False,2,1316,0,2/2 gold hit
GB2,IDX-D-gdpr,multi-hop-synthesis,0.5,False,1,824,0,1/2 gold hit
GB3,IDX-D-gdpr,multi-hop-synthesis,1.0,False,2,1086,0,2/2 gold hit
GB4,IDX-D-gdpr,multi-hop-synthesis,1.0,False,2,674,0,2/2 gold hit
GB5,IDX-D-gdpr,multi-hop-synthesis,1.0,False,2,2430,0,2/2 gold hit
GB6,IDX-D-gdpr,multi-hop-synthesis,1.0,False,2,1320,0,2/2 gold hit
GC1,IDX-D-gdpr,cross-reference-resolution,0.5,False,2,869,0,1/2 gold hit
GC2,IDX-D-gdpr,cross-reference-resolution,1.0,False,2,1115,0,2/2 gold hit
GC3,IDX-D-gdpr,cross-reference-resolution,1.0,False,1,941,0,1/1 gold hit
GC4,IDX-D-gdpr,cross-reference-resolution,0.5,False,1,850,0,1/2 gold hit
GC5,IDX-D-gdpr,cross-reference-resolution,1.0,False,2,2335,0,2/2 gold hit
GD1,IDX-D-gdpr,scattered-enumeration,1.0,False,7,2441,0,7/7 gold hit
GD2,IDX-D-gdpr,scattered-enumeration,0.6666666666666666,False,3,4484,0,2/3 gold hit
GD3,IDX-D-gdpr,scattered-enumeration,1.0,False,2,2791,0,4/4 gold hit
GD4,IDX-D-gdpr,scattered-enumeration,1.0,False,4,2841,0,4/4 gold hit
GD5,IDX-D-gdpr,scattered-enumeration,1.0,False,2,1629,0,2/2 gold hit
GE1,IDX-D-gdpr,boundary-absence,1.0,False,1,497,0,1/1 gold hit
GE2,IDX-D-gdpr,boundary-absence,0.0,False,3,2021,0,0/1 gold hit
GE3,IDX-D-gdpr,boundary-absence,1.0,False,2,961,0,1/1 gold hit
GE4,IDX-D-gdpr,boundary-absence,0.0,False,3,2801,0,0/1 gold hit
GA1,IDX-PDF-textheadings-gdpr,single-hop-lookup,1.0,False,2,1467,0,1/1 gold hit
GA2,IDX-PDF-textheadings-gdpr,single-hop-lookup,1.0,False,1,422,0,1/1 gold hit
GA3,IDX-PDF-textheadings-gdpr,single-hop-lookup,1.0,False,1,1941,0,1/1 gold hit
GA4,IDX-PDF-textheadings-gdpr,single-hop-lookup,1.0,False,1,295,0,1/1 gold hit
